,Language_name,context,count
0,Croatian,HomeUnstructured,79
1,English,HomeOther,20
2,English,HomeUnstructured,397
3,English,LabInterview/Unstructured,433
4,English,LabTabletop play,27
5,English,LabUnstructured,30
6,English,OtherUnstructured,130
7,Estonian,HomeUnstructured,22
8,French,HomeUnstructured,258
9,French,NaNNaN,45
10,German,HomeUnstructured,39
11,Japanese,HomeUnstructured,86
12,Japanese,NaNNaN,53
13,Korean,HomeBook-reading,37
14,Mandarin,HomeUnstructured,2
15,Norwegian,HomeUnstructured,56
16,Persian,HomeNaN,12
17,Polish,HomeInterview/Unstructured,1
18,Portuguese,HomeUnstructured,24
19,Spanish,HomeUnstructured,31
20,Swedish,HomeUnstructured,16
