,Language_name,target_child_id,transcript_id,contingent,means
0,Croatian,17504,28083,contingent,0.09090909090909091
1,Croatian,17504,28083,non-contingent,0.07407407407407407
2,Croatian,17504,28085,contingent,0.14814814814814814
3,Croatian,17504,28085,non-contingent,0.10526315789473684
4,Croatian,17504,28086,contingent,0.11538461538461539
5,Croatian,17504,28086,non-contingent,0.07142857142857142
6,Croatian,17504,28087,contingent,0.23404255319148937
7,Croatian,17504,28087,non-contingent,0.05128205128205128
8,Croatian,17504,28088,contingent,0.2857142857142857
9,Croatian,17504,28088,non-contingent,0.189873417721519
10,Croatian,17504,28089,contingent,0.425531914893617
11,Croatian,17504,28089,non-contingent,0.11267605633802817
12,Croatian,17504,28090,contingent,0.25
13,Croatian,17504,28090,non-contingent,0.1527777777777778
14,Croatian,17504,28091,contingent,0.1724137931034483
15,Croatian,17504,28091,non-contingent,0.1744186046511628
16,Croatian,17504,28092,contingent,0.2692307692307692
17,Croatian,17504,28092,non-contingent,0.11827956989247312
18,Croatian,17504,28099,contingent,0.20833333333333334
19,Croatian,17504,28099,non-contingent,0.1724137931034483
20,Croatian,17504,28104,contingent,0.125
21,Croatian,17504,28104,non-contingent,0.1780821917808219
22,Croatian,17504,28106,contingent,0.20689655172413793
23,Croatian,17504,28106,non-contingent,0.22666666666666666
24,Croatian,17504,28107,contingent,0.23684210526315788
25,Croatian,17504,28107,non-contingent,0.15942028985507245
26,Croatian,17504,28108,contingent,0.15254237288135594
27,Croatian,17504,28108,non-contingent,0.10204081632653061
28,Croatian,17504,28109,contingent,0.11475409836065574
29,Croatian,17504,28109,non-contingent,0.2962962962962963
30,Croatian,17504,28111,contingent,0.21052631578947367
31,Croatian,17504,28111,non-contingent,0.11764705882352941
32,Croatian,17504,28112,contingent,0.27450980392156865
33,Croatian,17504,28112,non-contingent,0.2857142857142857
34,Croatian,17504,28113,contingent,0.3111111111111111
35,Croatian,17504,28113,non-contingent,0.2
36,Croatian,17504,28114,contingent,0.37037037037037035
37,Croatian,17504,28114,non-contingent,0.21875
38,Croatian,17504,28115,contingent,0.29333333333333333
39,Croatian,17504,28115,non-contingent,0.18461538461538463
40,Croatian,17504,28116,contingent,0.3220338983050847
41,Croatian,17504,28116,non-contingent,0.2911392405063291
42,Croatian,17516,28124,contingent,0.25
43,Croatian,17516,28124,non-contingent,0.07317073170731707
44,Croatian,17516,28125,contingent,0.16129032258064516
45,Croatian,17516,28125,non-contingent,0.08333333333333333
46,Croatian,17516,28126,contingent,0.1875
47,Croatian,17516,28126,non-contingent,0.09210526315789473
48,Croatian,17516,28127,contingent,0.25
49,Croatian,17516,28127,non-contingent,0.1891891891891892
50,Croatian,17516,28128,contingent,0.14705882352941177
51,Croatian,17516,28128,non-contingent,0.16216216216216217
52,Croatian,17516,28129,contingent,0.14814814814814814
53,Croatian,17516,28129,non-contingent,0.1016949152542373
54,Croatian,17516,28130,contingent,0.11538461538461539
55,Croatian,17516,28130,non-contingent,0.11904761904761904
56,Croatian,17516,28131,contingent,0.047619047619047616
57,Croatian,17516,28131,non-contingent,0.1076923076923077
58,Croatian,17516,28132,contingent,0.23076923076923078
59,Croatian,17516,28132,non-contingent,0.18
60,Croatian,17516,28134,contingent,0.46153846153846156
61,Croatian,17516,28134,non-contingent,0.2054794520547945
62,Croatian,17516,28135,contingent,0.21428571428571427
63,Croatian,17516,28135,non-contingent,0.16470588235294117
64,Croatian,17516,28136,contingent,0.3220338983050847
65,Croatian,17516,28136,non-contingent,0.1348314606741573
66,Croatian,17516,28137,contingent,0.3684210526315789
67,Croatian,17516,28137,non-contingent,0.12121212121212122
68,Croatian,17516,28138,contingent,0.3142857142857143
69,Croatian,17516,28138,non-contingent,0.2077922077922078
70,Croatian,17516,28139,contingent,0.6206896551724138
71,Croatian,17516,28139,non-contingent,0.20754716981132076
72,Croatian,17516,28140,contingent,0.23076923076923078
73,Croatian,17516,28140,non-contingent,0.13114754098360656
74,Croatian,17516,28141,contingent,0.2826086956521739
75,Croatian,17516,28141,non-contingent,0.2391304347826087
76,Croatian,17516,28142,contingent,0.3170731707317073
77,Croatian,17516,28142,non-contingent,0.25
78,Croatian,17516,28143,contingent,0.2702702702702703
79,Croatian,17516,28143,non-contingent,0.2647058823529412
80,Croatian,17516,28144,contingent,0.2631578947368421
81,Croatian,17516,28144,non-contingent,0.2909090909090909
82,Croatian,17516,28145,contingent,0.2878787878787879
83,Croatian,17516,28145,non-contingent,0.2967032967032967
84,Croatian,17516,28146,contingent,0.43103448275862066
85,Croatian,17516,28146,non-contingent,0.22580645161290322
86,Croatian,17516,28147,contingent,0.20454545454545456
87,Croatian,17516,28147,non-contingent,0.15714285714285714
88,Croatian,17523,28160,non-contingent,0.25
89,Croatian,17523,28161,contingent,0.1875
90,Croatian,17523,28161,non-contingent,0.25333333333333335
91,Croatian,17523,28165,contingent,0.22950819672131148
92,Croatian,17523,28165,non-contingent,0.3058823529411765
93,Croatian,17523,28167,contingent,0.34375
94,Croatian,17523,28167,non-contingent,0.1111111111111111
95,Croatian,17523,28170,contingent,0.2191780821917808
96,Croatian,17523,28170,non-contingent,0.2611464968152866
97,Croatian,17523,28175,contingent,0.3333333333333333
98,Croatian,17523,28175,non-contingent,0.17073170731707318
99,Croatian,17523,28179,contingent,0.125
100,Croatian,17523,28179,non-contingent,0.027777777777777776
101,Croatian,17523,28183,contingent,0.36082474226804123
102,Croatian,17523,28183,non-contingent,0.265625
103,Croatian,17523,28195,contingent,0.25
104,Croatian,17523,28195,non-contingent,0.15789473684210525
105,Croatian,17523,28196,contingent,0.1
106,Croatian,17523,28196,non-contingent,0.10638297872340426
107,Croatian,17523,28197,contingent,0.3176470588235294
108,Croatian,17523,28197,non-contingent,0.29333333333333333
109,Croatian,17523,28198,contingent,0.2222222222222222
110,Croatian,17523,28198,non-contingent,0.19230769230769232
111,Croatian,17523,28200,contingent,0.28125
112,Croatian,17523,28200,non-contingent,0.25806451612903225
113,Croatian,17523,28201,contingent,0.16666666666666666
114,Croatian,17523,28201,non-contingent,0.25
115,English,1714,3350,contingent,0.25
116,English,1714,3350,non-contingent,0.19444444444444445
117,English,1719,3357,non-contingent,0.14473684210526316
118,English,1732,3367,contingent,0.5
119,English,1732,3367,non-contingent,0.35570469798657717
120,English,2335,3800,contingent,0.2727272727272727
121,English,2335,3800,non-contingent,0.14
122,English,2335,3801,contingent,0.21739130434782608
123,English,2335,3801,non-contingent,0.0425531914893617
124,English,2335,3804,non-contingent,0.0
125,English,2335,3805,contingent,0.1875
126,English,2335,3805,non-contingent,0.12962962962962962
127,English,2335,3806,contingent,0.42857142857142855
128,English,2335,3806,non-contingent,0.10309278350515463
129,English,2335,3807,contingent,0.5333333333333333
130,English,2335,3807,non-contingent,0.15384615384615385
131,English,2335,3808,contingent,0.14814814814814814
132,English,2335,3808,non-contingent,0.0967741935483871
133,English,2335,3810,contingent,0.125
134,English,2335,3810,non-contingent,0.09782608695652174
135,English,2335,3811,contingent,0.25
136,English,2335,3811,non-contingent,0.23255813953488372
137,English,2335,3812,contingent,0.5483870967741935
138,English,2335,3812,non-contingent,0.2198952879581152
139,English,2335,3813,contingent,0.17857142857142858
140,English,2335,3813,non-contingent,0.14516129032258066
141,English,2335,3814,contingent,0.26666666666666666
142,English,2335,3814,non-contingent,0.17857142857142858
143,English,2335,3815,contingent,0.6923076923076923
144,English,2335,3815,non-contingent,0.23076923076923078
145,English,2335,3816,contingent,0.17857142857142858
146,English,2335,3816,non-contingent,0.044642857142857144
147,English,2335,3817,contingent,0.26666666666666666
148,English,2335,3817,non-contingent,0.1323529411764706
149,English,2335,3818,contingent,0.3
150,English,2335,3818,non-contingent,0.13186813186813187
151,English,2335,3821,contingent,0.07142857142857142
152,English,2335,3821,non-contingent,0.08928571428571429
153,English,2335,3822,contingent,0.3548387096774194
154,English,2335,3822,non-contingent,0.13274336283185842
155,English,2335,3823,non-contingent,0.5
156,English,2335,3824,contingent,0.2692307692307692
157,English,2335,3824,non-contingent,0.19642857142857142
158,English,2335,3831,contingent,0.30303030303030304
159,English,2335,3831,non-contingent,0.06756756756756757
160,English,2335,3835,contingent,0.5161290322580645
161,English,2335,3835,non-contingent,0.25
162,English,2335,3837,contingent,0.3333333333333333
163,English,2335,3837,non-contingent,0.11538461538461539
164,English,2335,3838,contingent,0.3
165,English,2335,3838,non-contingent,0.1206896551724138
166,English,2335,3839,contingent,0.2857142857142857
167,English,2335,3839,non-contingent,0.21978021978021978
168,English,2335,3840,contingent,0.24324324324324326
169,English,2335,3840,non-contingent,0.11235955056179775
170,English,2335,3841,contingent,0.42
171,English,2335,3841,non-contingent,0.05405405405405406
172,English,2335,3842,contingent,0.17777777777777778
173,English,2335,3842,non-contingent,0.25
174,English,2335,3843,contingent,0.2631578947368421
175,English,2335,3843,non-contingent,0.06930693069306931
176,English,2335,3844,contingent,0.16666666666666666
177,English,2335,3844,non-contingent,0.15841584158415842
178,English,2335,3845,contingent,0.34615384615384615
179,English,2335,3845,non-contingent,0.0641025641025641
180,English,2335,3846,contingent,0.3488372093023256
181,English,2335,3846,non-contingent,0.13333333333333333
182,English,2335,3847,contingent,0.1935483870967742
183,English,2335,3847,non-contingent,0.16279069767441862
184,English,2335,3848,contingent,0.42105263157894735
185,English,2335,3848,non-contingent,0.16363636363636364
186,English,2335,3849,contingent,0.3448275862068966
187,English,2335,3849,non-contingent,0.16393442622950818
188,English,2335,3850,contingent,0.25
189,English,2335,3850,non-contingent,0.11320754716981132
190,English,2335,3851,contingent,0.2727272727272727
191,English,2335,3851,non-contingent,0.15853658536585366
192,English,2335,3852,contingent,0.35135135135135137
193,English,2335,3852,non-contingent,0.16037735849056603
194,English,2335,3853,contingent,0.17307692307692307
195,English,2335,3853,non-contingent,0.13380281690140844
196,English,2335,3854,contingent,0.2222222222222222
197,English,2335,3854,non-contingent,0.21428571428571427
198,English,2335,3857,contingent,0.36363636363636365
199,English,2335,3857,non-contingent,0.16129032258064516
200,English,2335,3858,contingent,0.25
201,English,2335,3858,non-contingent,0.09259259259259259
202,English,2335,3859,contingent,0.3888888888888889
203,English,2335,3859,non-contingent,0.14893617021276595
204,English,2335,3860,contingent,0.30434782608695654
205,English,2335,3860,non-contingent,0.10144927536231885
206,English,2335,3862,contingent,0.29411764705882354
207,English,2335,3862,non-contingent,0.125
208,English,2335,3863,contingent,0.2608695652173913
209,English,2335,3863,non-contingent,0.21621621621621623
210,English,2335,3864,contingent,0.21052631578947367
211,English,2335,3864,non-contingent,0.12121212121212122
212,English,2335,3865,contingent,0.3333333333333333
213,English,2335,3865,non-contingent,0.10810810810810811
214,English,2335,3866,contingent,0.208955223880597
215,English,2335,3866,non-contingent,0.208955223880597
216,English,2335,3867,contingent,0.2857142857142857
217,English,2335,3867,non-contingent,0.22058823529411764
218,English,2335,3868,contingent,0.3333333333333333
219,English,2335,3868,non-contingent,0.14705882352941177
220,English,2335,3871,contingent,0.24615384615384617
221,English,2335,3871,non-contingent,0.1619047619047619
222,English,2335,3872,contingent,0.36
223,English,2335,3872,non-contingent,0.1509433962264151
224,English,2335,3873,contingent,0.35714285714285715
225,English,2335,3873,non-contingent,0.16037735849056603
226,English,2335,3874,contingent,0.2857142857142857
227,English,2335,3874,non-contingent,0.1774193548387097
228,English,2335,3875,contingent,0.1836734693877551
229,English,2335,3875,non-contingent,0.19
230,English,2533,4154,contingent,0.7142857142857143
231,English,2533,4154,non-contingent,0.32919254658385094
232,English,2533,4156,contingent,0.4090909090909091
233,English,2533,4156,non-contingent,0.18181818181818182
234,English,2533,4167,contingent,0.3076923076923077
235,English,2533,4167,non-contingent,0.16666666666666666
236,English,2533,4182,contingent,0.36
237,English,2533,4182,non-contingent,0.2054794520547945
238,English,2533,4194,contingent,0.5833333333333334
239,English,2533,4194,non-contingent,0.3359375
