,sub,onset,offset,cat,tier
0,10,600.99,605.48,you got another one big boy,Transcript
1,10,613.38,614.77,you want me to make it spin,Transcript
2,10,615.94,619.59,what ready here it goes spin,Transcript
3,10,622.82,623.51,you like that,Transcript
4,10,626,628.98,do you want mommy to do it again do you want me to make it spin,Transcript
5,10,633.59,636.76,there we go oh you rolled it thats good,Transcript
6,10,646.77,648.602,yes,Transcript
7,10,658.82,661.19,you might have to catch shoe shown,Transcript
8,10,682.58,683.5,whats that,Transcript
9,10,689.92,691.44,yay,Transcript
10,10,695.329,699.43,its a donut its a big circle donut,Transcript
11,10,705.68,707.092,how does that taste,Transcript
12,10,709.135,711.46,hay its a penguin,Transcript
13,10,712.082,713.08,yay,Transcript
14,10,714.83,721.87,pete the penguin no no no touching no ouch ouch joseph no no good boy no no,Transcript
15,10,724.638,727.17,yay,Transcript
16,10,731.56,734.52,yay i like the clapping,Transcript
17,10,737.81,740.51,no no joe no no ouch no no honey,Transcript
18,10,743.97,749.76,joe no touching this ok no ouch no no no ouch,Transcript
19,10,750.58,752.46,you can touch this yes,Transcript
20,10,753.17,757.52,yes big boy ouch ouch no no,Transcript
21,10,759.96,760.71,good boy,Transcript
22,10,763.17,764.731,ouch no no,Transcript
23,10,766.91,771.8,yay wheres pete the penguin wheres the penguin look look,Transcript
24,10,781.9,782.6,penguin,Transcript
25,10,785,786.17,oh is that ripped,Transcript
26,10,790.76,799.07,what else what else do you see yay joseph what do you want to do do you want me to spin that again huh,Transcript
27,10,801.84,802.644,hey joe,Transcript
28,10,810.22,824.03,ill put that back you dont want it hey joseph what is this joe joe hey joe what is this is what is this huh,Transcript
29,10,826.16,827.398,whats in the box,Transcript
30,10,834.15,835.25,what else is in there,Transcript
31,10,838.942,841.652,ah do you see other things in there,Transcript
32,10,843.74,859.41,Oh my Oh whats that What is it Need some help Can I help you get it out My goodness youre checking everything out,Transcript
33,10,864.3,866.35,Up Joe look Look,Transcript
34,10,869.104,873.1,Winnie the pooh Winnie the pooh,Transcript
35,10,882.51,883.764,its a pooh bear,Transcript
36,10,889,892.12,silly willy willy old duck,Transcript
37,10,895.309,896.849,hey,Transcript
38,10,916.494,917.824,hey,Transcript
39,10,945.75,948.46,whats in there going see ya,Transcript
40,10,950.3,951.98,did you think that was something to drink,Transcript
41,10,955.3,956.33,sure looks like it,Transcript
42,10,968.52,969.21,yay,Transcript
43,10,974.33,974.81,huh,Transcript
44,10,984.065,991.49,there you are joe oh theres a beautiful boy i love him i love him ,Transcript
45,10,999.943,1001.483,thats a nice noise,Transcript
46,10,1008.09,1009.4,is it gonna kiss himself,Transcript
47,10,1017.775,1018.275,ah,Transcript
48,10,1020.21,1021.33,can i have the ball,Transcript
49,10,1023.969,1036.19,thank you im gonna get it im gonna get it im gonna get it im gonna get it yay you got it ah i got it you got it,Transcript
50,10,1038.6,1040.271,are we gonna lay down,Transcript
51,10,1044.809,1048.36,ah theres a big boy,Transcript
52,10,1051.56,1052.34,hay,Transcript
53,10,1054.63,1057.84,wanna see something cool hey joe joe,Transcript
54,10,1059.68,1064.62,watch where did that ball go,Transcript
55,10,1066.742,1072.17,should we go get it should we go get it on your mark get set,Transcript
56,10,1072.558,1077.34,go get it here we go go get that ball,Transcript
57,10,1080.89,1082.05,im gonna get it,Transcript
58,10,1083.3,1085.89,im gonna get the ball,Transcript
59,10,1090.573,1093.95,are you gonna get it oh a block,Transcript
60,10,1095.04,1098.385,wheres the ball wheres the ball,Transcript
61,10,1102.13,1105.283,is that a good block huh,Transcript
62,10,1111.618,1114.3,thats a big oh yum,Transcript
63,10,1118.187,1123.73,i got the ball i got it where is it where is it,Transcript
64,10,1126.843,1127.67,wheres the ball,Transcript
65,10,1129.03,1129.91,hey joe,Transcript
66,10,1131.49,1132.38,oh you know what,Transcript
67,10,1132.606,1133.78,honey no no no,Transcript
68,10,1135.74,1139.81,no those are mommy shoes no thank you,Transcript
69,10,1145.01,1154.89,is that a piece of paper thats mommys ok oh a block a big boy block im gonna put those right out there,Transcript
70,10,1160.51,1161.33,bye bye shoes,Transcript
71,10,1162.82,1163.873,are you thirsty,Transcript
72,10,1172.31,1172.92,hey joe,Transcript
73,10,1180.73,1184.83,what is it hey joseph watch wheres the ball,Transcript
74,10,1191.531,1192.34,star,Transcript
75,10,1195.08,1198.921,look star look heres another star,Transcript
76,10,621.18,621.68,(voc)*,Child_Voc
77,10,628.78,629.17,(other)*,Child_Voc
78,10,631.771,633.44,(voc)*,Child_Voc
79,10,678.537,680.82,(voc)*,Child_Voc
80,10,683.667,684.477,(voc)*,Child_Voc
81,10,692.594,694.504,(voc)*,Child_Voc
82,10,701.48,702.51,(voc)*,Child_Voc
83,10,707.39,709.23,(voc)*,Child_Voc
84,10,711.388,712.08,(voc)*,Child_Voc
85,10,735.16,738.41,(voc)*,Child_Voc
86,10,740.683,742.803,(voc)*,Child_Voc
87,10,779.15,779.99,(voc)*,Child_Voc
88,10,781.126,782.04,(voc)*,Child_Voc
89,10,783.81,784.71,(voc)*,Child_Voc
90,10,789.48,789.87,(voc)*,Child_Voc
91,10,824.4,825.03,(voc)*,Child_Voc
92,10,838.49,838.91,(voc)*,Child_Voc
93,10,879.04,879.41,(other)*,Child_Voc
94,10,880.701,881.251,(voc)*,Child_Voc
95,10,884.535,886.93,(voc)*,Child_Voc
96,10,894.261,895.291,(voc)*,Child_Voc
97,10,915.38,916.554,(voc)*,Child_Voc
98,10,966.96,967.61,(voc)*,Child_Voc
99,10,980.88,981.37,(voc)*,Child_Voc
100,10,993.28,994.1,(other)*,Child_Voc
